Año,Zona,Lugar,Numero,median_inc,Población,distance (km)
2020,España,Andalucía,87.0,12736.0,8472407.0,760.2232558673107
2022,España,Castilla - La Mancha,61.0,14054.0,2049562.0,619.7680476648685
2019,España,Castilla y León,295.0,16688.0,2383139.0,289.80667242687815
2020,España,Castilla y León,261.0,16688.0,2383139.0,289.80667242687815
2022,España,Castilla y León,88.0,16688.0,2383139.0,289.80667242687815
2019,España,Cataluña,279.0,18828.0,7763362.0,984.8134316271122
2020,España,Cataluña,311.0,18828.0,7763362.0,984.8134316271122
2021,España,Cataluña,196.0,18828.0,7763362.0,984.8134316271122
2022,España,Cataluña,196.0,18828.0,7763362.0,984.8134316271122
2023,España,Cataluña,197.0,18828.0,7763362.0,984.8134316271122
2019,España,Comunidade Valenciana,30.0,15273.0,5058138.0,860.4477076672692
2019,España,Galicia,1673.0,15409.0,2695645.0,100.85216305470584
2020,España,Galicia,2556.0,15409.0,2695645.0,100.85216305470584
2021,España,Galicia,2898.0,15409.0,2695645.0,100.85216305470584
2022,España,Galicia,2693.0,15409.0,2695645.0,100.85216305470584
2023,España,Galicia,1940.0,15409.0,2695645.0,100.85216305470584
2024,España,Galicia,855.0,15409.0,2695645.0,100.85216305470584
2019,España,Madrid,455.0,19206.0,6751251.0,477.5041543325445
2020,España,Madrid,409.0,19206.0,6751251.0,477.5041543325445
2021,España,Madrid,267.0,19206.0,6751251.0,477.5041543325445
2022,España,Madrid,363.0,19206.0,6751251.0,477.5041543325445
2023,España,Madrid,343.0,19206.0,6751251.0,477.5041543325445
2024,España,Madrid,103.0,19206.0,6751251.0,477.5041543325445
2019,España,País Vasco,33.0,21114.0,2213993.0,533.514110657156
2020,España,País Vasco,38.0,21114.0,2213993.0,533.514110657156
2019,Europa,Francia,60.0,16095.866314863677,67059887.0,733.0657103226346
2020,Europa,Francia,30.0,16095.866314863677,67059887.0,733.0657103226346
2021,Europa,Francia,131.0,16095.866314863677,67059887.0,733.0657103226346
2022,Europa,Francia,90.0,16095.866314863677,67059887.0,733.0657103226346
2023,Europa,Francia,48.0,16095.866314863677,67059887.0,733.0657103226346
2020,Europa,Portugal,53.0,9547.053649956024,10269417.0,409.3058070431837
2023,Europa,Portugal,31.0,9547.053649956024,10269417.0,409.3058070431837
2019,Europa,Total,330.0,,,
2020,Europa,Total,305.0,,,
2021,Europa,Total,454.0,,,
2022,Europa,Total,686.0,,,
2023,Europa,Total,825.0,,,
2019,Europa,Total Europa,319.0,,,
2020,Europa,Total Europa,224.0,,,
2021,Europa,Total Europa,435.0,,,
2022,Europa,Total Europa,654.0,,,
2023,Europa,Total Europa,772.0,,,
2019,Europa,Total Unión Europea,293.0,,,
2020,Europa,Total Unión Europea,184.0,,,
2021,Europa,Total Unión Europea,423.0,,,
2022,Europa,Total Unión Europea,586.0,,,
2023,Europa,Total Unión Europea,684.0,,,
