Año,Zona,Lugar,Porcentaje,Numero,median_inc,Población,distance (km)
2020,España,Cataluña,"77,08",362849,18828.0,7763362.0,134.4511412081171
2020,España,Comunidade Valenciana,"3,76",17700,15273.0,5058138.0,494.7270140281754
2020,España,Madrid,"3,64",17135,19206.0,6751251.0,601.7810007169045
2020,España,País Vasco,"2,82",13275,21114.0,2213993.0,400.0764144340812
2020,España,Aragón,"0,94",4425,18121.0,1326261.0,235.30992913205154
2020,España,Castilla y León,"0,94",4425,16688.0,2383139.0,646.119575657194
2020,España,Andalucía,"0,94",4425,12736.0,8472407.0,962.3562627414004
2020,España,Illes Balears,"0,94",4425,15765.0,1173008.0,495.6495095435783
2020,España,Resto España ,"2,82",13275,,,
2021,España,Cataluña,"64,61",342752,18828.0,7763362.0,134.4511412081171
2021,España,Comunidade Valenciana,"6,37",33792,15273.0,5058138.0,494.7270140281754
2021,España,Madrid,"5,46",28965,19206.0,6751251.0,601.7810007169045
2021,España,País Vasco,"3,64",19310,21114.0,2213993.0,400.0764144340812
2021,España,Aragón,"1,82",9655,18121.0,1326261.0,235.30992913205154
2021,España,Castilla y León,"0,91",4827,16688.0,2383139.0,646.119575657194
2021,España,Andalucía,"2,73",14482,12736.0,8472407.0,962.3562627414004
2021,España,Illes Balears,"1,82",9655,15765.0,1173008.0,495.6495095435783
2021,España,Castilla - La Mancha,"0,91",4827,14054.0,2049562.0,620.4587918704517
2021,España,Navarra,"0,91",4827,20955.0,661537.0,286.01252757864205
2021,España,Resto España ,"1,82",9655,,,
2019,España,Cataluña,"59,25",332228,18828.0,7763362.0,134.4511412081171
2019,España,Comunidade Valenciana,"4,74",26578,15273.0,5058138.0,494.7270140281754
2019,España,Madrid,"3,95",22149,19206.0,6751251.0,601.7810007169045
2019,España,País Vasco,"3,16",17719,21114.0,2213993.0,400.0764144340812
2019,España,Andalucía,"1,58",8859,12736.0,8472407.0,962.3562627414004
2019,España,Illes Balears,"1,58",8859,15765.0,1173008.0,495.6495095435783
2019,España,Aragón,"0,79",4430,18121.0,1326261.0,235.30992913205154
2019,España,Castilla - La Mancha,"0,79",4430,14054.0,2049562.0,620.4587918704517
2019,España,Castilla y León,"0,79",4430,16688.0,2383139.0,646.119575657194
2019,España,Resto España ,"3,16",17719,,,
2020,Europa,Francia,"2,76",12993,16095.866314863677,67059887.0,342.3493536639847
2020,Europa,Alemania,"0,54",2542,17874.23043095866,83132799.0,1764.5762257586703
2020,Europa,Países Bajos,"0,42",1977,18891.820580474934,17332850.0,1685.4568453881625
2020,Europa,Andorra,"0,48",2260,,77142.0,73.31659181049382
2020,Europa,Reino Unido,"0,24",1130,14869.832893579594,66834405.0,2035.8535611928376
2020,Europa,Bélgica,"0,24",1130,17027.26473175022,11484055.0,1375.837472948556
2020,Mundo,Estados Unidos,"0,18",847,21395.778364116093,328239523.0,13516.918464706845
2020,Europa,Italia,"0,12",565,13428.320140721196,60297396.0,1236.1864990768836
2020,Europa,Irlanda,"0,06",282,15797.713280562884,4941444.0,2040.6768801086369
2020,Europa,Polonia,"0,06",282,9945.47053649956,37970874.0,2596.8716969535767
2020,Europa,Resto,"0,84",3954,,,
2021,Europa,Francia,"2,88",15278,16095.866314863677,67059887.0,342.3493536639847
2021,Mundo,Israel,"1,26",6684,10802.110817941952,9053300.0,4101.440431729829
2021,Europa,Países Bajos,"1,26",6684,18891.820580474934,17332850.0,1685.4568453881625
2021,Europa,Alemania,"0,72",3820,17874.23043095866,83132799.0,1764.5762257586703
2021,Europa,Bélgica,"0,54",2865,17027.26473175022,11484055.0,1375.837472948556
2021,Europa,Reino Unido,"0,18",955,14869.832893579594,66834405.0,2035.8535611928376
2021,Europa,Italia,"0,18",955,13428.320140721196,60297396.0,1236.1864990768836
2021,Europa,Andorra,"0,18",955,,77142.0,73.31659181049382
2021,Europa,Resto ,"1,8",9549,,,
2019,Mundo,Israel,"7,56",42391,10802.110817941952,9053300.0,4101.440431729829
2019,Europa,Francia,"4,41",24728,16095.866314863677,67059887.0,342.3493536639847
2019,Europa,Países Bajos,"7,9",44297,18891.820580474934,17332850.0,1685.4568453881625
2019,Europa,Alemania,"1,68",9420,17874.23043095866,83132799.0,1764.5762257586703
2019,Europa,Reino Unido,"0,84",4710,14869.832893579594,66834405.0,2035.8535611928376
2019,Europa,Bélgica,"2,1",11775,17027.26473175022,11484055.0,1375.837472948556
2019,Europa,Estados Unidos,"0,63",3533,21395.778364116093,328239523.0,13516.918464706845
2019,Europa,Italia,"0,42",2355,13428.320140721196,60297396.0,1236.1864990768836
2019,Mundo,Argentina,"0,21",1178,5919.964819700967,44938712.0,12139.463571297081
