,count,mean,std,min,25%,50%,75%,max
FID,291347.0,140.850882281266,88.75656360873558,0.0,65.0,133.0,224.0,302.0
PUD,291347.0,0.02184680123701291,0.1746807346701803,0.0,0.0,0.0,0.0,4.0
TA_AVG_1.5m,267647.0,0.9999999999999996,0.2624193910586777,0.14984519809984853,0.801404229123298,0.9967381480748865,1.1940789223581694,2.012206945912254
TA_MAX_1.5m,267640.0,1.0,0.2471005813480761,0.27460578880611386,0.8094484588645332,0.962716806105155,1.1420620596471323,2.1744946764763204
TA_MIN_1.5m,267626.0,1.0,0.3662975535159297,-0.43580770905716215,0.7479636276477086,1.0229375393147275,1.2866703791211453,2.2931786595626855
PP_SUM_1.5m,272759.0,1.0000000000000002,2.253254922234187,0.0,0.0,0.0,0.9436235939629111,31.446256268814007
VV_AVG_2m,249507.0,1.0,0.6247800826872927,0.0,0.5848409126516676,0.8221676598146632,1.2544413778615482,5.212712482330081
HSOL_SUM_1.5m,267570.0,0.9999999999999998,0.6683384813667378,0.0,0.4101895102786971,1.0284428038000955,1.4892038678391881,2.4553594934710663
PRED_AVG_1.5m,260009.0,1.0,0.006795060032509786,0.9670703639894676,0.9960811994919668,1.0001134799760816,1.0041653822630388,1.0210597545103517
trial_len,291347.0,1.0,1.7320607460946098,0.0,0.0,0.0,1.2440003062302032,10.018345905398185
bike_len,291347.0,1.0000000000000002,4.833952343207928,0.0,0.0,0.0,0.056758350340673114,55.74985508066648
Com-nodes (m),291347.0,1.0,0.8554331417561697,0.0,0.29794832720970854,0.8223831370264285,1.5353196348438232,3.695190595496687
dist-train,291347.0,1.0,1.2137944948742123,0.0,0.08071316445881194,0.5511690377435432,1.3663024762335572,4.89267767800222
lighthouse (m),291347.0,0.9999999999999998,1.2097369230550037,0.0,0.0,0.5325507809535319,1.6089657102507884,6.533717877546157
city (m),291347.0,1.0000000000000004,0.7407102687608926,0.0,0.3492713493764078,0.8585766811670346,1.5532007528116916,2.771668103935112
town (m),291347.0,1.0,1.0031930908661932,0.0,0.0,0.7597599959889515,1.7043246962700744,4.716677402062297
restaurant,291347.0,1.0000000000000004,3.669774334209111,0.0,0.0,0.07658795126500884,0.4595277075900531,24.66132030733286
viewpoint,291347.0,1.0,1.9532705585646382,0.0,0.0,0.49759015979068033,0.9951803195813607,14.430114633929731
camp_pitch,291347.0,1.0000000000000004,20.261008640953047,0.0,0.0,0.0,0.0,411.5070621468927
camp_site,291347.0,1.0000000000000002,4.287016677264337,0.0,0.0,0.0,0.0,32.487399643175735
caravan_site,291347.0,1.0000000000000002,2.9274495884297065,0.0,0.0,0.0,0.0,9.569931677834713
hostel,291347.0,0.9999999999999996,3.110093710418703,0.0,0.0,0.0,0.0,27.587065618786088
hotel,291347.0,0.9999999999999996,2.008794720258121,0.0,0.0,0.0,1.172384792441289,9.379078339530311
motel,291347.0,0.9999999999999996,4.109947612260976,0.0,0.0,0.0,0.0,17.891611397690987
Protected area (m2),291347.0,1.0,1.9275129876033683,0.0,0.0,0.06087583091472559,1.0505410025584105,11.201368950118079
Beach area (m2),291347.0,1.0000000000000002,2.183203118152786,0.0,0.0,0.0,1.0897639057088813,20.76002003106344
Port area (m2),291347.0,1.0000000000000002,5.894617895586232,0.0,0.0,0.0,0.0,63.02815114793125
Area (km2),291347.0,1.0,0.6813824184647614,7.741384093773451e-05,0.3187778447155327,1.0972972807869026,1.5279181934862656,2.315275312741769
Month,291347.0,1.0,0.4911015084824569,0.13354458055981588,0.5341783222392633,1.2019012250383425,1.4689903861579743,1.6025349667177902
